granule,lon,lat,orbit,scene,timestamp,LST_kelvin,LST_celsius,NDVI,Albedo
ECOv002_L2T_LSTE_39145_005_11SLT_20250601T191033_0713_01,-118.2437,34.0522,39145,005,20250601T191033,,,0.16300000250339508,0.14669999480247498
ECOv002_L2T_LSTE_39160_004_11SLT_20250602T182218_0713_01,-118.2437,34.0522,39160,004,20250602T182218,315.8999938964844,42.75,0.16349999606609344,0.14869999885559082
ECOv002_L2T_LSTE_39181_015_11SLT_20250604T014227_0713_01,-118.2437,34.0522,39181,015,20250604T014227,289.0,15.850000381469727,0.16349999606609344,0.15060000121593475
ECOv002_L2T_LSTE_39207_005_11SLT_20250605T173349_0713_01,-118.2437,34.0522,39207,005,20250605T173349,,,0.15800000727176666,0.1509999930858612
ECOv002_L2T_LSTE_39222_005_11SLT_20250606T164524_0713_01,-118.2437,34.0522,39222,005,20250606T164524,,,0.155799999833107,0.1501999944448471
ECOv002_L2T_LSTE_39242_003_11SLT_20250608T000521_0713_01,-118.2437,34.0522,39242,003,20250608T000521,302.7799987792969,29.6299991607666,0.15469999611377716,0.1451999992132187
ECOv002_L2T_LSTE_39268_004_11SLT_20250609T155643_0713_01,-118.2437,34.0522,39268,004,20250609T155643,285.4599914550781,12.3100004196167,0.22840000689029694,0.21629999577999115
ECOv002_L2T_LSTE_39304_014_11SLT_20250611T222800_0713_01,-118.2437,34.0522,39304,014,20250611T222800,306.94000244140625,33.790000915527344,0.11980000138282776,0.16050000488758087
ECOv002_L2T_LSTE_39330_004_11SLT_20250613T141931_0713_01,-118.2437,34.0522,39330,004,20250613T141931,286.0400085449219,12.890000343322754,,
ECOv002_L2T_LSTE_39350_016_11SLT_20250614T213941_0713_01,-118.2437,34.0522,39350,016,20250614T213941,,,,
ECOv002_L2T_LSTE_39392_004_11SLT_20250617T124202_0713_01,-118.2437,34.0522,39392,004,20250617T124202,291.1000061035156,17.950000762939453,,
ECOv002_L2T_LSTE_39412_016_11SLT_20250618T200109_0713_01,-118.2437,34.0522,39412,016,20250618T200109,,,0.18080000579357147,0.13220000267028809
ECOv002_L2T_LSTE_39412_017_11SLT_20250618T200201_0713_01,-118.2437,34.0522,39412,017,20250618T200201,322.4800109863281,49.33000183105469,0.18080000579357147,0.13220000267028809
ECOv002_L2T_LSTE_39427_013_11SLT_20250619T191257_0713_01,-118.2437,34.0522,39427,013,20250619T191257,,,0.18050000071525574,0.1378999948501587
ECOv002_L2T_LSTE_39453_004_11SLT_20250621T110431_0713_01,-118.2437,34.0522,39453,004,20250621T110431,283.2200012207031,10.069999694824219,,
ECOv002_L2T_LSTE_39515_004_11SLT_20250625T092647_0713_01,-118.2437,34.0522,39515,004,20250625T092647,290.6400146484375,17.489999771118164,,
ECOv002_L2T_LSTE_39535_013_11SLT_20250626T164638_0713_01,-118.2437,34.0522,39535,013,20250626T164638,302.70001220703125,29.549999237060547,0.1906999945640564,0.1542000025510788
ECOv002_L2T_LSTE_39561_003_11SLT_20250628T083743_0713_01,-118.2437,34.0522,39561,003,20250628T083743,,,,
ECOv002_L2T_LSTE_39576_004_11SLT_20250629T074911_0713_01,-118.2437,34.0522,39576,004,20250629T074911,293.3999938964844,20.25,,
